age,gender_M,in_state,race_Asian,race_White,race_Hispanic,race_Black,race_Other,sat_math,sat_ebrw,act_composite,gpa,extracurriculars_count,first_gen,legacy,athlete,admit
18,0,0,1,0,0,0,0,747,760,33,3.91,2,0,0,0,0
18,0,0,0,1,0,0,0,759,745,35,3.79,5,0,0,0,1
18,1,0,0,0,0,1,0,756,744,34,4.0,4,0,0,0,0
18,0,1,1,0,0,0,0,740,752,34,3.76,4,0,0,0,0
18,0,0,0,1,0,0,0,751,763,35,4.0,2,0,1,0,0
18,0,0,0,1,0,0,0,785,755,34,4.0,2,0,0,0,0
18,1,0,1,0,0,0,0,788,753,33,3.66,3,0,0,0,0
18,1,0,0,1,0,0,0,782,758,34,3.86,1,0,0,0,0
18,0,0,0,0,1,0,0,772,767,33,4.0,3,0,0,0,1
18,0,0,0,0,1,0,0,776,753,35,3.92,3,0,0,0,0
18,1,0,1,0,0,0,0,774,742,35,3.81,3,0,0,0,0
18,0,0,0,1,0,0,0,756,748,34,3.87,2,0,0,0,1
18,1,0,0,1,0,0,0,764,767,34,3.95,5,0,0,0,0
18,0,0,0,0,0,1,0,787,755,33,3.95,5,0,0,0,1
18,0,0,0,1,0,0,0,747,746,33,4.0,2,0,0,0,1
18,0,0,0,1,0,0,0,743,749,34,3.41,5,0,0,0,0
18,0,0,0,0,0,1,0,779,753,35,3.98,3,0,0,0,0
18,1,0,0,0,0,0,1,788,769,33,4.0,0,1,0,0,0
17,1,0,0,1,0,0,0,776,752,34,4.0,4,0,0,0,1
18,1,1,0,0,0,0,1,783,746,34,4.0,5,1,0,0,1
18,1,0,0,1,0,0,0,798,759,34,3.93,3,0,0,0,0
18,0,0,1,0,0,0,0,776,754,35,3.67,2,0,0,1,1
18,1,0,0,1,0,0,0,767,762,34,4.0,1,0,0,0,0
18,1,0,0,1,0,0,0,799,769,34,4.0,4,0,0,1,1
18,0,0,0,0,0,1,0,776,762,34,3.84,1,0,0,0,1
18,0,0,0,0,1,0,0,752,763,34,3.75,3,0,0,0,1
18,0,0,1,0,0,0,0,779,764,33,3.7,4,0,1,0,1
18,0,1,0,1,0,0,0,782,740,33,3.98,0,0,0,0,1
18,1,1,1,0,0,0,0,740,747,35,3.64,3,0,0,0,0
19,1,0,0,0,0,1,0,766,760,34,3.88,2,0,1,0,0
19,1,0,1,0,0,0,0,795,754,34,4.0,3,1,0,0,0
18,0,0,0,1,0,0,0,787,764,33,3.9,2,0,0,0,0
18,0,1,0,0,1,0,0,754,743,33,3.94,0,0,0,0,0
18,0,0,1,0,0,0,0,759,749,33,3.81,5,0,1,0,1
18,1,0,0,0,1,0,0,778,768,34,3.68,5,0,0,0,1
17,0,1,0,0,1,0,0,793,763,34,3.9,2,0,0,0,1
18,0,0,0,1,0,0,0,791,754,34,3.77,5,0,0,0,1
18,1,0,1,0,0,0,0,756,757,34,4.0,1,0,0,1,0
18,0,0,0,1,0,0,0,779,743,33,3.95,2,0,0,0,0
18,0,0,1,0,0,0,0,773,769,34,3.95,3,0,0,0,1
18,0,0,1,0,0,0,0,763,753,33,4.0,2,0,0,0,0
18,0,0,0,1,0,0,0,759,746,33,4.0,2,0,0,0,1
18,1,0,0,0,0,0,1,769,757,35,4.0,1,0,0,0,0
18,0,0,0,1,0,0,0,773,769,33,3.83,3,0,0,0,0
19,0,0,0,1,0,0,0,792,745,34,4.0,2,0,0,0,1
18,0,0,0,0,0,0,1,783,743,34,4.0,5,0,0,0,0
18,0,0,0,1,0,0,0,744,749,34,4.0,2,0,0,0,0
18,1,0,0,1,0,0,0,752,748,33,4.0,1,0,0,0,0
18,0,0,1,0,0,0,0,756,759,34,3.86,1,1,1,0,0
18,0,0,1,0,0,0,0,754,762,34,3.79,3,0,0,0,1
18,1,1,0,1,0,0,0,759,756,34,3.7,3,0,0,0,0
18,0,0,1,0,0,0,0,765,740,33,4.0,2,0,0,0,0
18,1,0,1,0,0,0,0,741,740,33,4.0,4,0,0,0,0
18,0,0,1,0,0,0,0,745,765,35,3.91,0,0,0,0,0
18,1,0,1,0,0,0,0,778,769,33,3.77,2,0,0,1,1
18,1,0,1,0,0,0,0,775,747,34,3.92,1,0,0,0,1
18,1,0,0,1,0,0,0,790,751,33,3.84,3,0,0,0,0
18,1,0,0,0,1,0,0,796,748,33,3.83,0,1,0,0,1
17,0,0,0,1,0,0,0,782,758,33,3.84,2,0,0,0,0
18,1,1,0,0,1,0,0,764,745,34,4.0,3,0,0,0,0
18,0,0,0,0,1,0,0,782,750,35,4.0,4,0,0,0,0
17,0,0,0,1,0,0,0,774,762,35,4.0,2,0,0,0,1
18,0,0,0,0,0,0,1,795,766,33,3.88,5,0,0,0,0
18,0,0,0,0,0,1,0,792,742,35,3.75,2,0,0,0,1
18,1,0,0,1,0,0,0,788,762,34,4.0,2,0,0,0,0
18,0,0,0,0,0,1,0,777,741,35,3.99,4,0,0,0,0
18,1,0,0,1,0,0,0,752,744,34,4.0,3,0,0,0,0
18,0,0,0,0,1,0,0,784,761,33,3.94,5,0,0,0,0
18,1,0,0,0,0,0,1,791,742,34,4.0,5,0,0,0,0
18,1,0,0,1,0,0,0,783,740,34,4.0,3,0,0,0,1
18,1,0,0,1,0,0,0,774,749,34,4.0,4,0,0,0,0
18,1,1,0,1,0,0,0,782,744,35,3.65,1,0,0,0,0
18,1,0,0,1,0,0,0,763,752,34,4.0,2,0,0,0,1
18,0,0,1,0,0,0,0,750,767,34,4.0,1,0,1,0,0
18,0,0,0,1,0,0,0,761,766,35,3.73,3,0,1,0,1
18,1,0,0,1,0,0,0,789,764,33,4.0,2,0,1,0,0
18,1,0,0,1,0,0,0,792,740,34,3.82,4,0,0,0,1
18,0,0,0,1,0,0,0,753,768,34,3.97,4,0,0,0,1
18,0,1,0,1,0,0,0,746,763,34,3.94,5,0,0,0,0
18,0,1,0,1,0,0,0,747,752,34,3.83,3,1,0,0,0
18,0,1,1,0,0,0,0,772,757,34,3.67,3,0,0,0,1
18,1,1,0,0,0,0,1,757,766,34,4.0,5,0,0,0,1
18,0,0,0,0,0,0,1,766,763,33,4.0,2,0,0,0,0
18,1,0,0,1,0,0,0,772,765,35,4.0,5,0,0,0,1
18,1,0,0,1,0,0,0,744,765,35,4.0,3,0,0,0,0
18,0,0,0,1,0,0,0,785,757,34,3.91,4,0,0,0,1
18,0,1,0,1,0,0,0,752,765,34,4.0,3,0,0,0,1
18,0,0,0,1,0,0,0,767,754,35,4.0,4,0,0,0,1
18,1,1,1,0,0,0,0,790,757,34,3.89,2,0,0,0,1
18,0,0,1,0,0,0,0,787,763,35,3.92,5,0,0,0,0
18,0,0,0,1,0,0,0,791,765,33,3.86,2,0,0,0,1
18,0,0,1,0,0,0,0,781,742,34,4.0,5,0,0,0,0
18,0,1,0,1,0,0,0,755,748,34,4.0,2,0,0,0,0
18,0,1,0,0,0,0,1,764,762,35,3.85,5,0,0,0,0
18,0,0,1,0,0,0,0,747,744,33,3.74,1,0,0,0,0
17,0,1,0,0,0,1,0,763,757,35,4.0,4,0,0,0,0
18,1,0,0,1,0,0,0,740,762,34,3.95,2,0,0,0,0
18,0,0,1,0,0,0,0,772,765,34,4.0,4,0,0,0,0
17,1,0,1,0,0,0,0,744,749,34,3.85,3,0,0,0,0
18,1,0,0,0,0,0,1,748,761,34,3.81,5,0,0,0,1
18,1,0,0,1,0,0,0,774,749,34,3.92,3,0,0,0,0
18,0,0,1,0,0,0,0,745,747,33,3.95,4,0,0,0,0
18,0,0,0,1,0,0,0,779,752,34,4.0,5,1,0,0,0
18,1,0,1,0,0,0,0,779,767,34,3.91,5,0,0,0,1
18,1,0,0,0,0,0,1,793,748,34,3.93,3,0,0,0,1
18,0,1,0,1,0,0,0,768,765,35,3.85,1,0,1,0,1
18,0,0,0,1,0,0,0,799,752,34,4.0,3,1,0,0,0
18,1,0,0,0,0,1,0,793,742,34,4.0,2,0,0,0,1
18,0,0,0,0,0,0,1,766,761,34,3.86,4,1,1,0,1
18,1,0,0,0,0,0,1,760,740,33,4.0,3,0,0,0,0
18,1,1,1,0,0,0,0,769,759,34,3.76,4,0,0,0,0
18,0,1,0,1,0,0,0,768,759,34,4.0,5,0,0,0,0
18,1,0,0,1,0,0,0,751,742,34,3.91,2,0,0,0,0
18,0,0,1,0,0,0,0,786,761,35,4.0,3,0,1,0,0
18,1,0,0,1,0,0,0,747,759,34,4.0,3,0,1,0,0
18,0,0,0,0,0,0,1,748,763,34,3.91,2,0,0,0,0
19,0,0,1,0,0,0,0,774,758,34,4.0,2,0,0,0,0
18,1,0,0,1,0,0,0,755,742,34,4.0,2,0,0,1,1
18,0,0,1,0,0,0,0,791,762,35,4.0,5,0,0,0,0
18,1,0,0,1,0,0,0,799,753,33,3.77,5,0,0,0,0
18,0,0,0,1,0,0,0,751,748,34,3.79,3,0,0,0,1
18,0,0,0,0,0,1,0,795,748,35,4.0,4,0,0,0,0
18,0,0,0,0,0,1,0,785,743,34,3.81,1,0,0,0,0
18,1,0,1,0,0,0,0,763,742,35,3.97,2,0,0,0,0
18,0,0,0,0,0,1,0,771,743,34,4.0,3,0,0,0,0
18,1,0,0,0,0,0,1,764,766,34,4.0,4,0,0,0,1
18,0,1,0,0,0,0,1,770,754,33,4.0,5,0,0,0,0
17,0,1,0,0,0,1,0,770,752,35,3.89,1,0,0,0,1
18,1,0,0,1,0,0,0,783,746,34,3.85,1,0,0,0,0
18,0,1,0,0,1,0,0,778,753,34,4.0,1,0,0,0,1
18,0,0,0,0,1,0,0,745,760,33,3.92,4,0,0,0,0
19,1,0,1,0,0,0,0,759,748,34,3.75,5,0,1,0,1
18,1,0,0,0,0,0,1,746,769,33,3.83,5,0,0,0,1
18,1,0,0,1,0,0,0,766,764,34,3.97,1,0,0,0,1
17,1,0,0,1,0,0,0,769,749,35,4.0,2,0,0,0,1
18,1,0,0,1,0,0,0,762,769,35,4.0,3,0,0,0,0
18,1,1,0,0,0,1,0,752,740,34,3.91,5,0,0,0,0
19,1,1,0,1,0,0,0,763,766,33,4.0,3,1,0,0,0
19,1,0,0,1,0,0,0,779,754,33,4.0,2,0,0,0,0
18,0,0,0,1,0,0,0,749,744,33,3.89,0,0,0,0,0
18,1,0,0,0,0,0,1,771,769,35,3.83,2,0,0,0,0
18,1,0,0,0,0,1,0,780,743,34,3.91,1,1,0,0,0
18,0,0,0,1,0,0,0,754,765,33,4.0,4,1,0,0,1
18,1,0,0,1,0,0,0,793,756,34,4.0,3,0,0,0,0
18,0,0,1,0,0,0,0,749,765,33,3.98,3,0,0,0,0
18,1,0,0,1,0,0,0,751,755,35,4.0,2,0,0,0,0
18,1,0,0,1,0,0,0,749,743,33,3.6,5,0,0,0,1
18,0,0,0,1,0,0,0,786,769,33,3.82,3,0,0,0,0
18,1,0,1,0,0,0,0,747,749,35,3.99,3,0,0,0,0
18,0,1,0,1,0,0,0,770,764,34,4.0,1,0,0,0,0
18,0,0,0,1,0,0,0,791,765,34,4.0,5,0,0,0,1
19,1,0,0,0,0,0,1,773,753,34,4.0,2,0,0,0,0
18,0,0,0,1,0,0,0,762,754,33,4.0,5,0,0,0,1
18,1,0,0,0,1,0,0,767,745,34,3.75,5,1,0,0,0
18,1,0,0,1,0,0,0,742,744,33,4.0,1,0,0,0,0
18,0,0,0,0,0,0,1,770,745,35,3.82,2,0,0,0,1
18,0,0,0,0,0,1,0,792,766,33,3.8,3,0,0,0,0
18,1,0,0,0,0,1,0,790,768,35,3.76,4,0,0,0,0
18,1,0,0,0,0,0,1,745,749,35,3.96,3,0,0,0,1
18,1,0,1,0,0,0,0,769,743,33,3.91,5,0,0,0,1
18,0,0,0,1,0,0,0,747,763,33,3.86,0,0,0,0,0
18,1,0,1,0,0,0,0,774,745,33,4.0,4,0,0,0,0
18,1,0,0,0,0,1,0,767,749,34,4.0,3,0,0,0,0
18,0,0,0,0,1,0,0,779,748,34,3.92,2,0,0,0,0
18,1,0,0,0,0,0,1,770,761,34,3.92,5,1,0,0,0
18,0,0,0,0,1,0,0,766,755,35,3.92,2,0,0,0,0
18,1,0,1,0,0,0,0,762,748,35,3.84,1,0,0,0,1
18,1,0,1,0,0,0,0,745,755,34,4.0,0,0,0,0,1
18,0,0,1,0,0,0,0,779,749,33,4.0,2,0,0,0,0
18,1,0,1,0,0,0,0,752,752,34,3.98,3,1,1,0,1
18,1,0,0,1,0,0,0,787,754,34,4.0,1,0,0,0,0
18,0,0,0,1,0,0,0,760,741,34,3.91,5,1,0,0,0
18,1,0,0,0,0,1,0,779,750,34,3.95,3,0,0,0,0
18,1,0,0,0,1,0,0,798,753,34,4.0,3,0,0,0,0
18,1,0,1,0,0,0,0,767,757,34,3.65,3,0,0,0,0
17,1,0,0,1,0,0,0,784,745,35,3.75,0,0,0,0,0
18,0,0,1,0,0,0,0,785,747,33,4.0,3,0,0,0,0
18,0,0,0,1,0,0,0,742,755,34,4.0,2,0,0,0,1
18,1,0,0,1,0,0,0,771,767,35,3.77,4,0,0,0,0
18,0,0,0,1,0,0,0,760,764,34,4.0,2,1,0,0,1
17,1,1,1,0,0,0,0,767,769,35,4.0,1,0,0,0,0
17,1,0,0,0,1,0,0,759,744,34,3.98,5,0,0,0,0
18,1,0,0,1,0,0,0,772,763,34,3.78,2,0,0,0,0
18,1,0,0,0,0,0,1,792,753,35,4.0,5,0,0,0,1
18,1,0,0,1,0,0,0,744,764,33,3.95,1,0,0,0,0
18,1,0,1,0,0,0,0,754,768,35,4.0,3,0,0,0,0
18,1,1,0,1,0,0,0,792,753,34,3.8,5,0,0,0,0
18,1,0,0,1,0,0,0,745,740,34,3.86,1,0,0,0,0
18,0,0,0,1,0,0,0,763,741,35,3.67,5,1,0,0,0
18,1,0,1,0,0,0,0,756,765,35,3.91,2,0,0,0,0
18,0,0,0,0,1,0,0,752,766,35,4.0,5,0,0,0,0
18,1,0,0,1,0,0,0,758,762,34,3.69,1,1,0,0,1
18,0,0,1,0,0,0,0,774,742,34,3.76,4,0,1,0,0
18,0,0,0,0,0,0,1,797,740,33,3.81,2,0,0,0,0
18,0,0,1,0,0,0,0,765,761,33,4.0,1,1,0,0,0
19,0,0,1,0,0,0,0,767,758,35,3.87,1,1,0,0,1
18,0,0,1,0,0,0,0,764,746,33,4.0,4,0,0,0,0
18,1,0,1,0,0,0,0,796,745,34,3.89,5,0,1,0,0
18,0,0,1,0,0,0,0,749,753,35,4.0,2,0,0,0,1
18,1,0,1,0,0,0,0,759,751,34,3.95,4,0,0,0,1
18,0,0,0,0,1,0,0,742,757,34,3.73,1,0,0,0,0
18,0,0,0,0,1,0,0,761,760,33,3.66,5,0,1,0,0
17,1,1,1,0,0,0,0,758,744,34,3.9,3,0,0,0,0
19,0,0,1,0,0,0,0,756,769,34,4.0,2,1,1,0,1
18,0,1,0,0,1,0,0,755,748,34,4.0,3,0,0,0,1
18,1,0,0,1,0,0,0,761,768,34,3.88,1,0,0,0,0
18,0,0,1,0,0,0,0,756,740,33,3.96,3,0,0,0,1
18,0,0,0,0,1,0,0,744,742,34,3.83,5,0,0,0,1
18,0,0,0,0,1,0,0,757,757,33,4.0,2,0,0,0,0
18,0,1,0,0,1,0,0,798,761,34,3.9,2,0,0,0,0
18,0,0,1,0,0,0,0,795,765,33,3.94,3,0,0,0,0
18,1,0,0,0,1,0,0,781,753,33,3.79,1,0,0,0,0
18,0,0,0,1,0,0,0,753,741,33,3.8,2,0,0,0,0
18,0,0,1,0,0,0,0,773,750,35,3.92,5,0,0,0,0
19,1,0,0,1,0,0,0,788,769,34,4.0,4,0,0,0,0
18,0,1,0,1,0,0,0,748,767,34,3.78,1,0,0,0,0
18,0,0,0,0,0,1,0,771,748,34,4.0,3,0,0,0,0
18,1,0,0,1,0,0,0,759,767,34,4.0,3,1,0,0,1
18,0,0,0,0,1,0,0,764,761,34,3.85,2,0,0,0,0
18,0,0,1,0,0,0,0,772,750,35,4.0,2,0,0,0,0
18,1,0,0,1,0,0,0,768,769,35,3.96,2,0,0,0,1
18,1,1,0,0,1,0,0,793,754,34,3.9,5,0,0,0,1
17,0,0,0,1,0,0,0,771,763,33,3.95,1,0,0,0,0
18,1,0,0,1,0,0,0,779,754,34,4.0,5,1,0,0,0
17,0,0,0,1,0,0,0,772,751,35,4.0,4,0,0,0,1
17,0,0,0,1,0,0,0,765,759,34,4.0,2,0,0,0,0
18,0,0,1,0,0,0,0,754,756,35,3.9,4,1,0,0,0
18,1,0,1,0,0,0,0,746,760,34,3.75,3,0,0,0,0
18,0,0,0,0,1,0,0,779,741,34,3.89,2,0,0,0,0
18,1,0,1,0,0,0,0,747,740,33,3.81,5,0,0,0,0
18,1,1,1,0,0,0,0,746,748,34,3.8,2,0,0,0,0
18,1,0,0,0,0,0,1,793,750,34,3.81,3,1,0,0,1
18,0,1,0,1,0,0,0,797,755,35,3.91,4,0,1,0,1
18,1,1,0,1,0,0,0,775,741,34,4.0,1,1,0,0,0
18,1,0,0,0,1,0,0,742,750,35,3.85,3,1,1,0,0
18,0,1,0,0,1,0,0,783,749,34,3.93,5,0,0,0,0
18,0,0,1,0,0,0,0,770,759,35,3.96,1,0,0,0,1
17,0,0,1,0,0,0,0,784,761,33,3.86,5,1,0,0,0
18,0,0,0,1,0,0,0,765,765,34,4.0,0,0,0,0,1
18,0,0,0,1,0,0,0,782,741,34,3.94,5,0,0,0,0
18,1,0,1,0,0,0,0,785,747,33,4.0,1,0,1,0,1
18,0,0,1,0,0,0,0,772,748,33,3.8,1,0,0,0,1
18,0,1,0,0,1,0,0,797,742,35,4.0,4,0,0,0,0
18,1,0,0,1,0,0,0,759,766,35,3.9,2,0,0,0,1
18,1,1,0,0,1,0,0,795,759,35,3.96,4,0,0,0,1
18,1,1,0,0,1,0,0,743,757,33,3.8,5,0,0,0,0
17,0,0,0,1,0,0,0,786,756,35,4.0,2,0,0,0,1
18,1,0,0,0,0,1,0,773,744,34,3.89,5,0,0,1,1
18,0,1,0,1,0,0,0,761,769,34,4.0,5,0,0,0,0
18,0,0,1,0,0,0,0,745,758,34,3.97,3,0,0,0,1
18,1,0,1,0,0,0,0,779,743,34,4.0,1,1,0,0,0
18,1,0,1,0,0,0,0,779,757,35,4.0,4,0,1,1,1
18,0,0,1,0,0,0,0,781,747,34,4.0,0,1,0,0,0
18,1,0,0,0,1,0,0,782,750,35,3.9,4,1,0,0,1
18,1,0,0,0,1,0,0,748,745,33,4.0,5,0,0,0,0
18,1,0,0,0,0,1,0,789,764,33,4.0,4,0,0,0,0
19,0,0,0,1,0,0,0,750,747,34,3.98,4,1,1,0,0
18,1,0,0,1,0,0,0,773,758,33,3.73,1,0,0,0,0
18,0,0,0,0,1,0,0,785,767,35,3.82,4,1,0,0,0
18,1,0,0,0,1,0,0,799,754,34,3.82,2,0,1,0,1
18,0,0,0,0,1,0,0,753,753,33,3.94,2,0,1,0,0
17,1,1,0,1,0,0,0,758,756,35,3.8,3,0,0,0,1
18,1,0,0,1,0,0,0,759,750,34,4.0,4,0,1,0,0
18,0,0,1,0,0,0,0,781,742,35,3.58,3,0,0,0,1
18,1,1,0,1,0,0,0,770,749,34,4.0,3,0,0,0,1
18,0,0,0,1,0,0,0,764,743,33,3.92,2,0,0,0,0
18,0,1,0,0,0,0,1,795,756,34,3.81,5,0,0,0,0
17,1,0,0,0,0,0,1,773,741,34,3.77,3,1,0,0,1
18,0,0,1,0,0,0,0,788,766,33,3.84,3,0,0,0,0
18,0,0,0,0,0,0,1,797,741,34,3.86,4,0,0,0,1
18,1,0,0,1,0,0,0,770,743,34,3.95,5,0,0,0,0
18,1,1,0,0,1,0,0,792,762,34,3.98,3,1,0,0,0
18,0,0,1,0,0,0,0,786,767,34,4.0,1,0,0,0,0
18,0,0,0,0,0,1,0,799,757,34,3.91,0,1,0,0,1
